,UNITID,X,X.2,X.1,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,HCM2,PREDDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS.y,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,Institution.Name,INSTSIZE..HD2010.,RET_PCF..EF2010D.,GRRTTOT..DRVGR2010.,GRRTM..DRVGR2010.,GRRTW..DRVGR2010.,F1TUFEFT..DRVF2010.,F1STAPFT..DRVF2010.,F1LCAPFT..DRVF2010.,F1PGGCFT..DRVF2010.,F2TUFEFT..DRVF2010.,F2PGGCFT..DRVF2010.,F1INSTPC..DRVF2010.,F1ACSPPC..DRVF2010.,F1STSVPC..DRVF2010.,F1INSUPC..DRVF2010.,F2INSTPC..DRVF2010.,F2ACSPPC..DRVF2010.,F2STSVPC..DRVF2010.,F1ENDMFT..DRVF2010.,F2ENDMFT..DRVF2010.,ENDOW,ExpIn,GiftRev,TotalRev,Rating,HIGHDEG
318,117104,318,321,321,2270600,22706,Life Pacific College,San Dimas,CA,www.lifepacific.edu,www.lifepacific.edu/admissions/financial-aid/net-price-calculator/,0,3,2,21,0,0,0,0,0,0,0,0,0,79,410,520,415,515,405,515,465,465,460,17,22,15,22,16,23,6,8,20,19,20,7,930,930,0,0,0,0,0,0,0,0,0.2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0.6105,0.0358,0.2379,0.0547,0.0042,0.0147,0.0232,0.0021,0.0168,0.1747,1,NA,16827,NA,NA,NA,NA,NA,15666,16318,15823,17488,21838,0.3942,0.6279,NA,1,NA,0.5427,0.2045,20600,228.70223,0.789699571,0.377962992,NA,31200,0.455089808,Life Pacific College,1,63,43,43,43,NA,NA,NA,NA,9029,5478,NA,NA,NA,NA,29,7,20,NA,7294,7294,29,5478,14507,0.6263506549,3
319,117113,319,322,322,2179947,21799,The Art Institute of California-Argosy University San Diego,San Diego,CA,www.artinstitutes.edu/san-diego/,tcc.noellevitz.com/edmc/Freshman-Students?iframe=true&width=600&height=1000,0,3,3,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.0382,0.0687,0.1202,0.4599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2729,0,0.0401,0,0,1869,0.0214,0.0075,0.3317,0.008,0.0011,0,0,0.0005,0.6297,0.2156,1,NA,24859,NA,NA,NA,NA,NA,23595,23452,24454,27587,29552,0.6185,0.6204,NA,0.1875,NA,0.6776,0.465,14323,159.0146622,0.370393247,0.415116358,NA,38200,0.698424041,The Art Institute of California-Argosy University San Diego,2,61,44,37,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5672171557,3
322,117195,322,325,325,1290700,12907,Lake Tahoe Community College,South Lake Tahoe,CA,www.ltcc.edu,webprod.cccco.edu/npc/221/npcalc.htm,0,2,1,41,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.0101,0.0452,0.0302,0,0,0,0.0503,0.0302,0,0.005,0.0402,0,0,0.0352,0,0.2412,0.0302,0,0,0,0,0.0553,0.1055,0,0.1407,0,0,0,0,0.0151,0.0653,0.1005,0,0,2155,0.645,0.013,0.2241,0.0436,0.0079,0.0014,0.0441,0.0009,0.02,0.6589,1,4811,NA,4811,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2235,NA,0.5926,NA,0.3136,0,0.5429,NA,NA,0.566666667,NA,0.40205,28400,0.337579608,Lake Tahoe Community College,2,48,43,40,46,461,3933,1925,0,NA,NA,35,30,10,11,NA,NA,NA,219,NA,219,35,NA,6319,0.8297990999,2
323,117247,323,326,326,126600,1266,Laney College,Oakland,CA,www.laney.edu/wp/,webprod.cccco.edu/npc/343/npcalc.htm,0,2,1,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0029,0.0058,0.0161,0,0.0058,0.1358,0,0,0.073,0,0,0,0.0321,0.0686,0,0,0.0248,0,0.108,0,0,0,0,0,0,0,0,0.1431,0.0496,0.0044,0.0263,0,0.0365,0,0.2672,0,0,10140,0.165,0.2498,0.1819,0.2576,0.0024,0.0055,0.0491,0.0372,0.0516,0.817,1,8246,NA,8246,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2256,NA,0.5731,NA,0.3491,0.0169,0.4998,NA,NA,0.678571429,NA,0.262948443,27600,0.37670067,Laney College,4,57,16,16,15,605,2308,972,0,NA,NA,44,8,12,4,NA,NA,NA,NA,NA,NA,44,NA,3885,0.8625030621,2
324,117274,324,327,327,121700,1217,Lassen Community College,Susanville,CA,www.lassencollege.edu/,lassencollege.edu,0,2,1,41,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0155,0,0,0,0,0,0,0,0,0,0.0681,0,0.0031,0,0,0.6471,0,0.0062,0.0093,0,0.0372,0,0,0,0,0,0,0.0929,0.0217,0,0,0,0.0031,0,0.0093,0.0433,0.0402,0.0031,0,2290,0.4052,0.1803,0.2162,0.038,0.0175,0.0952,0.0306,0.0031,0.014,0.7406,1,7800,NA,7682,NA,13925,NA,NA,NA,NA,NA,NA,NA,0.2011,NA,0.4747,NA,0.1623,0.0559,0.6227,NA,NA,0.338164251,NA,0.196795745,25300,0.445682466,Lassen Community College,2,35,21,15,31,499,7275,1523,0,NA,NA,36,6,13,14,NA,NA,NA,NA,NA,NA,36,NA,9297,0.8671069603,2
330,117645,330,333,333,121900,1219,Long Beach City College,Long Beach,CA,www.lbcc.edu,webprod.cccco.edu/npc/841/npcalc.htm,0,1,1,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0027,0,0.0022,0,0.0186,0.0527,0.0131,0.0349,0.0025,0.0093,0.0164,0.0038,0.0723,0.0003,0.0044,0.0368,0.0011,0.0101,0.0003,0,0,0.003,0,0,0.0035,0,0.0076,0.0349,0.0098,0.0207,0.003,0.0734,0.0082,0,0.0142,0.119,0.4213,0,0,22475,0.159,0.1351,0.5175,0.1199,0.0027,0.0082,0.0416,0.0069,0.0091,0.5818,1,4732,NA,4732,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4402,NA,0.7321,NA,0.5125,0.0599,0.3458,9250,102.6939625,0.379652606,NA,0.249988475,27800,0.40519008,Long Beach City College,5,66,17,18,17,556,4885,867,0,NA,NA,34,6,10,12,NA,NA,NA,NA,NA,NA,34,NA,6308,0.6859271602,2
332,117690,332,335,335,122400,1224,Los Angeles Harbor College,Wilmington,CA,www.lahc.edu,webprod.cccco.edu/npc/742/npcalc.htm,0,2,1,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0049,0,0,0,0,0.0571,0,0.0016,0.0131,0,0.0261,0,0,0.553,0,0,0,0,0.1615,0.0033,0,0,0.0049,0,0.0082,0.0245,0,0,0,0,0,0,0.0049,0.0865,0.0506,0,0,8719,0.1364,0.1215,0.569,0.1038,0.0021,0.0095,0.029,0.006,0.0228,0.7127,1,8346,NA,8346,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3478,NA,0.6898,NA,0.5411,0.0146,0.3357,5542,61.5275611,0.5703125,NA,0.252810754,29700,0.485398591,Los Angeles Harbor College,4,70,14,16,13,707,4591,2017,0,NA,NA,39,6,13,11,NA,NA,NA,NA,NA,NA,39,NA,7315,0.6641343646,2
333,117706,333,336,336,122600,1226,Los Angeles Pierce College,Woodland Hills,CA,www.piercecollege.edu,webprod.cccco.edu/npc/744/npcalc.htm,0,2,1,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0055,0,0.003,0,0.0006,0.0012,0.0249,0,0.0006,0.003,0.0006,0.0036,0.134,0.0018,0,0.4936,0,0,0.0012,0,0.0849,0,0,0,0,0,0,0.0139,0,0.0073,0,0.0904,0.0012,0,0.0085,0.0509,0.0691,0,0,17528,0.2935,0.0571,0.4556,0.1155,0.0025,0.0024,0.0304,0.0084,0.0346,0.7486,1,8147,NA,8147,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3373,NA,0.7477,NA,0.5699,0.059,0.3158,11664,129.4943112,0.458891013,NA,0.338020633,33600,0.472154975,Los Angeles Pierce College,5,74,25,25,26,746,4003,1758,0,NA,NA,40,5,11,10,NA,NA,NA,NA,NA,NA,40,NA,6507,0.6629289927,2
334,117715,334,337,337,704700,7047,Los Angeles Southwest College,Los Angeles,CA,www.lasc.edu,www.lasc.edu/students/financial_aid/applying_for_financial_aid.html,0,2,1,21,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0096,0,0,0,0,0.0032,0.0573,0.0032,0.0096,0.5,0,0.0032,0,0,0,0,0,0,0,0,0.0955,0.0573,0,0.0541,0,0,0,0,0.0064,0.1051,0.0924,0.0032,0,6129,0.021,0.5874,0.3067,0.0191,0.0018,0.0023,0.0258,0.0028,0.0331,0.7858,1,6063,NA,6063,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3783,NA,0.5985,NA,0.3661,0.0334,0.4659,4875,54.12249375,NA,NA,0.122551369,25900,0.377967715,Los Angeles Southwest College,3,55,7,11,5,264,4769,2095,0,NA,NA,34,8,14,11,NA,NA,NA,NA,NA,NA,34,NA,7128,0.6852407905,2
335,117724,335,338,338,122700,1227,Los Angeles Trade Technical College,Los Angeles,CA,www.lattc.edu,college.lattc.edu/financialaid/,0,1,1,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0041,0,0,0,0.0082,0.1855,0,0.0163,0.1372,0,0.1135,0.0041,0,0.0394,0,0,0,0,0.0211,0,0,0,0,0.0129,0,0,0.0007,0,0.1515,0.1182,0.0231,0,0.07,0.0326,0.0618,0,0,12033,0.0581,0.2478,0.5802,0.0503,0.0022,0.0016,0.0146,0.0067,0.0385,0.7183,1,5074,NA,5074,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.371,NA,0.6366,NA,0.3701,0.0563,0.5405,4500,49.959225,NA,NA,0.198439546,26500,0.429987609,Los Angeles Trade Technical College,4,57,14,17,10,334,4124,1811,0,NA,NA,37,8,13,9,NA,NA,NA,NA,NA,NA,37,NA,6269,0.6733568766,2
336,117733,336,339,339,122800,1228,Los Angeles Valley College,Valley Glen,CA,www.lavc.edu,webprod.cccco.edu/npc/747/npcalc.htm,0,1,1,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0014,0,0.0134,0.0071,0.0028,0,0.0071,0.0007,0.0106,0.0099,0.1327,0,0.0035,0.5088,0,0.0078,0.0056,0,0,0,0.0035,0,0.0035,0,0.0106,0.0529,0,0.0649,0.0007,0.0106,0.0028,0,0.0155,0.0699,0.0487,0.0049,0,16111,0.3086,0.0539,0.4785,0.0818,0.0018,0.0021,0.0207,0.0055,0.0471,0.726,1,7511,NA,7497,13353,NA,NA,NA,NA,NA,NA,NA,NA,0.3189,NA,0.7573,NA,0.4781,0.049,0.4081,10500,116.571525,0.578125,NA,0.271570035,30600,0.450663596,Los Angeles Valley College,5,75,20,19,21,577,3987,1752,0,NA,NA,37,6,13,10,NA,NA,NA,NA,NA,NA,37,NA,6316,0.676140184,2
338,117788,338,341,341,122300,1223,Los Angeles City College,Los Angeles,CA,www.lacitycollege.edu/,www.lacitycollege.edu/services/finaid/tuition-fees.html,0,2,1,11,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.0462,0.0739,0.0062,0,0.0164,0,0,0.0133,0.2372,0.0226,0.0072,0.2136,0,0,0.0021,0,0.0698,0,0,0,0.0051,0,0,0.0267,0.0031,0.0031,0,0.001,0,0,0.0791,0.0903,0.0832,0,0,16485,0.1943,0.1115,0.4816,0.1303,0.0025,0.0016,0.0235,0.0254,0.0293,0.7453,1,5435,NA,5435,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3279,NA,0.6136,NA,0.3773,0.0516,0.4852,8000,88.8164,0.472560976,NA,0.204573423,25600,0.372987479,Los Angeles City College,5,61,15,15,16,690,4823,2119,0,NA,NA,40,4,14,11,NA,NA,NA,NA,NA,NA,40,NA,7632,0.6920192645,2
339,117803,339,342,342,616500,6165,Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,ladhs.org/wps/portal/CollegeofNursing,NA,0,2,1,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,182,0.2582,0.0385,0.3901,0.2912,0.0055,0,0.0165,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3744,NA,NA,NA,NA,0.4787,0.7892,14330,159.0923765,0.9,NA,NA,85800,0.991869927,Los Angeles County College of Nursing and Allied Health,1,NA,NA,NA,NA,3096,0,27234,279,NA,NA,39,1,1,4,NA,NA,NA,2500,NA,2500,39,279,30609,0.4747405463,2
340,117867,340,343,343,1255000,12550,Los Angeles Mission College,Sylmar,CA,www.lamission.edu,webprod.cccco.edu/npc/743/npcalc.htm,0,2,1,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0049,0.001,0.0109,0.0079,0.0218,0.0049,0,0,0.003,0.0722,0.0762,0.0089,0.5618,0,0.0069,0.0129,0,0.0574,0,0.001,0,0,0,0.0297,0.0178,0,0.0198,0,0,0,0,0.0089,0.0297,0.0425,0,0,7931,0.115,0.0316,0.744,0.0547,0.0016,0.0009,0.0116,0.0115,0.029,0.7613,1,7405,NA,7405,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3372,NA,0.6953,NA,0.5213,0.0352,0.3527,NA,NA,0.372413793,NA,0.205398563,28900,0.473242402,Los Angeles Mission College,4,69,15,12,18,512,4334,1904,0,NA,NA,34,11,12,12,NA,NA,NA,NA,NA,NA,34,NA,6750,0.8579245964,2
341,117894,341,344,344,1034000,10340,Los Medanos College,Pittsburg,CA,www.losmedanos.edu,www.losmedanos.edu/studentservices/finaid/netprice09-10.asp,0,2,1,21,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.0029,0.0044,0.0073,0,0,0.0015,0.0219,0.0168,0.1031,0,0,0.3275,0,0.0124,0.0037,0,0,0,0,0,0,0,0.0256,0.144,0,0.019,0,0.1082,0.0037,0,0.0051,0.1177,0.0753,0,0,7502,0.2831,0.159,0.36,0.0985,0.0025,0.0071,0.0666,0.004,0.0191,0.6485,1,8387,NA,8387,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2708,NA,0.719,NA,0.5206,0.0089,0.3249,NA,NA,0.62195122,NA,0.323786248,34300,0.487627357,Los Medanos College,3,67,21,20,22,434,2942,2940,0,NA,NA,56,12,7,6,NA,NA,NA,NA,NA,NA,56,NA,6316,0.8279174663,2
346,118198,346,349,349,1291200,12912,MTI College,Sacramento,CA,sacramento.mticollege.edu,www.mticollege.edu/programs_npcalc/,0,1,3,21,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.1936,0.2036,0,0,0,0,0,0.1776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3433,0.0818,0,0,594,0.7037,0.1027,0,0.0758,0,0.0051,0.096,0.0017,0.0152,0,1,NA,12836,NA,NA,NA,NA,NA,12575,12037,13874,15451,15451,0.6539,NA,0.6727,NA,0,0.7254,0.5673,10247.5,113.7682574,0.620829943,NA,0.597106889,38500,0.568822563,MTI College,1,52,58,49,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5994737274,2
347,118259,347,350,350,2351900,23519,Kaplan College-Sacramento,Sacramento,CA,www.kaplancollege.com/sacramento-ca/,www.kaplancollege.com/sacramento-ca/tuition-fees/,0,1,3,21,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565,0,0,0,0,0,0,0,0.9435,0,0,0,520,0.3058,0.2231,0.2981,0.0923,0.0135,0.0212,0,0,0.0462,0,1,NA,25313,NA,NA,NA,NA,NA,25185,25285,26411,28485,29485,0.5732,NA,0.8391,NA,NA,0.5922,0.479,9495,105.4139648,0.301850424,NA,0.665444388,26900,0.361976355,Kaplan College-Sacramento,1,59,60,56,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6444176321,2
348,118277,348,351,351,2091700,20917,Kaplan College-San Diego,San Diego,CA,www.kaplancollege.com/san-diego-ca/,www.kaplancollege.com/san-diego-ca/tuition-fees/,0,1,3,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228,0,0,0,0,0,0,0,0.9772,0,0,0,1335,0.3281,0.0839,0.2974,0.2202,0.0067,0.036,0,0,0.0277,0,1,NA,24723,NA,NA,NA,NA,NA,23917,24235,27418,27785,27785,0.3635,NA,0.8357,NA,NA,0.3786,0.6315,9500,105.469475,0.623622047,NA,0.846619757,35300,0.62931037,Kaplan College-San Diego,2,81,59,56,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6089456182,2
349,118286,349,352,352,2549000,25490,Kaplan College-Vista,Vista,CA,www.kaplancollege.com/vista-ca/,www.kaplancollege.com/vista-ca/tuition-fees/,0,1,3,21,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239,0,0,0,0,0,0,0,0.9761,0,0,0,890,0.3393,0.0899,0.4079,0.0831,0.0169,0.036,0,0,0.027,0,1,NA,25211,NA,NA,NA,NA,NA,25040,24767,27613,28147,28147,0.3456,NA,0.8846,NA,NA,0.3405,0.4699,9500,105.469475,0.501977587,NA,0.827989902,32600,0.463690877,Kaplan College-Vista,2,84,70,56,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6087978379,2
350,118347,350,353,353,117800,1178,College of Marin,Kentfield,CA,www.marin.edu,www.marin.edu/financial_aid/NetPriceCalculator/npcalc.htm,0,2,1,21,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0024,0,0,0.0024,0.0071,0.0024,0.0095,0,0,0.0048,0,0.0261,0.0071,0.0428,0.0024,0.3349,0,0.0024,0.0095,0,0.1188,0.0024,0,0,0.0024,0,0.0261,0.0214,0,0.0238,0,0.0214,0,0,0.0428,0.1853,0.1021,0,0,5040,0.5496,0.0716,0.2048,0.071,0.0044,0.003,0.0492,0.0109,0.0355,0.7554,1,8298,NA,8298,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2458,NA,0.7113,NA,0.348,0.0921,0.5595,10875,120.7347938,0.487414188,NA,0.284750331,32300,0.501872659,College of Marin,3,65,23,21,28,69,341,10435,0,NA,NA,40,7,9,32,NA,NA,NA,180,NA,180,40,NA,10845,0.6671866155,2
351,118541,351,354,354,1047400,10474,Marymount California University,Rancho Palos Verdes,CA,www.MarymountCalifornia.edu,www.MarymountCalifornia.edu/financial-aid,0,2,2,21,0,0,0,0,0,0,0,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.0488,0,0,0,0,0,0,0,0,0,0.7805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1707,0,0,1033,0.2478,0.0842,0.3591,0.0532,0.0019,0.0106,0.0436,0.1404,0.0591,0.03,1,NA,22646,NA,NA,NA,NA,NA,17987,20516,21992,25986,34234,0.4056,0.6647,NA,0.6,NA,0.5694,0.0658,16000,177.6328,0.724279835,0.33907125,NA,32600,0.535294116,Marymount California University,1,65,39,36,42,NA,NA,NA,NA,20210,3215,NA,NA,NA,NA,32,8,21,NA,14224,14224,32,3215,23425,0.5998013662,2
352,118684,352,355,355,1167200,11672,Mendocino College,Ukiah,CA,www.mendocino.edu,www.mendocino.edu/tc/pg/6154/net_price_calculator.html,0,2,1,41,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0029,0,0,0.0145,0,0.0145,0.0087,0.0116,0,0.0029,0.0029,0.0523,0,0.0029,0.0407,0,0.0116,0.0349,0,0.0843,0.0465,0,0,0.0029,0,0.0698,0.0523,0.0029,0.1047,0,0.0291,0,0,0.0174,0.064,0.3256,0,0,3130,0.6272,0.0435,0.2367,0.0288,0.0505,0.0048,0.001,0,0.0077,0.607,1,8453,NA,8453,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3577,NA,0.6583,NA,0.3506,0.0581,0.4516,15381.5,170.7661821,0.506944444,NA,0.243300535,23500,0.382978737,Mendocino College,2,58,21,19,24,451,4938,3582,63,NA,NA,49,13,16,16,NA,NA,NA,2690,NA,2690,49,63,9034,0.7280463997,2
353,118693,353,356,356,123600,1236,Menlo College,Atherton,CA,www.menlo.edu,tcc.noellevitz.com/(S(m0yg55vomw1vh010jkmaqqh0))/Menlo%20College/Freshman%20Students,0,3,2,21,0,0,0,0,0,0,0,0,0,NA,432,532,450,565,425,513,482,508,469,19,25,18,24,18,26,NA,NA,22,21,22,NA,1001,1001,0,0,0,0,0.0935,0,0,0,0,0,0,0,0,0,0,0.0647,0,0,0,0,0,0,0,0,0,0,0.0504,0,0,0,0,0,0,0,0,0,0.7914,0,0,742,0.3585,0.0566,0.2143,0.0714,0.004,0.0216,0.0768,0.128,0.0687,0.0404,1,NA,25918,NA,NA,NA,NA,NA,21734,20642,24611,31077,31729,0.3333,0.8155,NA,1,NA,0.591,0.0913,23250,258.1226625,0.783333333,0.383601887,NA,50600,0.688644707,Menlo College,1,71,34,30,41,NA,NA,NA,NA,17469,47391,NA,NA,NA,NA,30,11,28,NA,10798,10798,30,47391,64860,0.5432951701,3
354,118718,354,357,357,123700,1237,Merced College,Merced,CA,www.mccd.edu,webprod.cccco.edu/npc/531/npcalc.htm,0,2,1,13,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066,0,0,0,0.0053,0,0.0043,0.0085,0,0.0064,0.0319,0.0053,0.0437,0.0032,0.0043,0.0607,0,0.0064,0.016,0,0.0085,0.0021,0,0,0.0117,0,0.1193,0.0767,0.0096,0.1384,0.0085,0.0106,0.0096,0,0.017,0.2023,0.1129,0.0106,0,9163,0.2487,0.0403,0.5404,0.1056,0.0049,0.0034,0.0271,0.0067,0.0229,0.4932,1,3034,NA,3034,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4734,NA,0.737,NA,0.4596,0,0.2963,NA,NA,NA,NA,0.246228047,26100,0.343297988,Merced College,4,68,14,14,15,457,5436,1235,51,NA,NA,46,12,17,12,NA,NA,NA,690,NA,690,46,51,7179,0.8711991223,2
